title,cast,directors,writers,genres,keywords,"content_rating,",run_time,release_year,languages,rating,budget,revenue,opening_weekend_revenue,production_companies,production_countries,alternative_titles
Mudbound,Carey Mulligan;Garrett Hedlund;Jason Clarke;Jonathan Banks;Jason Mitchell,Dee Rees,Virgil Williams;Dee Rees,Drama,ku klux klan;mississippi;belgium;posttraumatic stress disorder;year 1939,R,134,2017,English,7.5,,,,Armory Films;ArtImage Entertainment;Black Bear Pictures,USA,Mudbound: El color de la guerra
Pan's Labyrinth,Ivana Baquero;Sergi López;Maribel Verdú;Doug Jones;Ariadna Gil,Guillermo del Toro,Guillermo del Toro,Drama;Fantasy;War,fairy;hiding;spain;labyrinth;woods,R,118,2006,Spanish,8.2,€13500000,$87041569,$779427,Estudios Picasso;Wild Bunch;Tequila Gang,Spain;Mexico;USA,Pan's Labyrinth
Spider-Man: Homecoming,Tom Holland;Michael Keaton;Robert Downey Jr.;Marisa Tomei;Jon Favreau,Jon Watts,Jonathan Goldstein;John Francis Daley,Action;Adventure;Sci-Fi,marvel cinematic universe;superhero;teenage superhero;reboot;based on comic book,PG-13,133,2017,English;Spanish,7.5,$175000000,$880166924,$117027503,Columbia Pictures;Marvel Studios;Pascal Pictures,USA,The Summer of George
Interstellar,Ellen Burstyn;Matthew McConaughey;Mackenzie Foy;John Lithgow;Timothée Chalamet,Christopher Nolan,Jonathan Nolan;Christopher Nolan,Adventure;Drama;Sci-Fi,space travel;father daughter relationship;wormhole;black hole;saving the world,PG-13,169,2014,English,8.6,$165000000,$675020017,$47510360,Paramount Pictures;Warner Bros.;Legendary Entertainment,USA;UK,Flora's Letter
Deadpool,Ryan Reynolds;Karan Soni;Ed Skrein;Michael Benyaer;Stefan Kapicic,Tim Miller,Rhett Reese;Paul Wernick,Action;Adventure;Comedy;Romance;Sci-Fi,breaking the fourth wall;self healing;based on comic book;anti hero;cancer,R,108,2016,English,8.0,$58000000,$783112979,$135050000,Twentieth Century Fox;Marvel Entertainment;Kinberg Genre,USA,X-Men Origins: Deadpool
Paddington 2,Michael Gambon;Imelda Staunton;Ben Whishaw;Madeleine Harris;Samuel Joslin,Paul King,Paul King;Simon Farnaby,Animation;Adventure;Comedy;Family;Fantasy,irish wolfhound;hair salon;sentenced to prison;escape from prison;pop up book,PG,103,2017,English,8.1,,$185847106,$11001961,StudioCanal;Anton Capital Entertainment (ACE);Amazon Prime Instant Video,UK;France;USA,As Aventuras de Paddington 2
Guardians of the Galaxy Vol. 2,Chris Pratt;Zoe Saldana;Dave Bautista;Vin Diesel;Bradley Cooper,James Gunn,James Gunn;Dan Abnett,Action;Adventure;Sci-Fi,demi god;mixtape;alien creature;marvel cinematic universe;raccoon,PG-13,136,2017,English,7.7,$200000000,$863756051,$146510104,Marvel Studios;Walt Disney Pictures,USA;New Zealand;Canada,Guardians of the Galaxy 2
Molly's Game,Jessica Chastain;Idris Elba;Kevin Costner;Michael Cera;Jeremy Strong,Aaron Sorkin,Aaron Sorkin;Molly Bloom,Biography;Crime;Drama,poker;lawyer;playing cards;based on real events;based on real person,R,140,2017,English,7.5,,,,STX Entertainment;Huayi Brothers Pictures;The Mark Gordon Company,China;USA;Canada,Apuesta maestra
Fargo,William H. Macy;Steve Buscemi;Peter Stormare;Kristin Rudrüd;Harve Presnell,Joel Coen;Ethan Coen,Ethan Coen;Joel Coen,Crime;Drama;Thriller,black comedy;unintended consequences;murder of a police officer;americana;murder for hire,R,98,1996,English,8.1,$7000000,$36000000,$730265,PolyGram Filmed Entertainment;Working Title Films,USA;UK,Фарго
Isle of Dogs,Bryan Cranston;Koyu Rankin;Edward Norton;Liev Schreiber;Greta Gerwig,Wes Anderson,Wes Anderson;Wes Anderson,Animation;Adventure;Comedy;Drama;Fantasy;Sci-Fi,drums;drummer;canine;man's best friend;cat,PG-13,101,2018,English,8.1,,,,American Empirical Pictures;Indian Paintbrush;Scott Rudin Productions,Germany;USA,Isla de perros
Captain America: Civil War,Chris Evans;Robert Downey Jr.;Scarlett Johansson;Sebastian Stan;Anthony Mackie,Anthony Russo;Joe Russo,Christopher Markus;Stephen McFeely,Action;Adventure;Sci-Fi,marvel cinematic universe;based on comic book;superhero;siberia;bucharest,PG-13,147,2016,English;German;Xhosa;Russian;Romanian;Hindi,7.8,$250000000,$1153304495,$179139142,Marvel Studios;Vita-Ray Dutch Productions (III);Studio Babelsberg,USA;Germany,Captain America 3
